turn,inputTokens,cacheReadTokens,请求量_in加cacheRead,outputTokens,reasoningTokens
1,75,512,587,256,162
2,85,768,853,248,115
3,87,1024,1111,243,71
4,85,1280,1365,213,62
5,49,1536,1585,343,185
6,25,1920,1945,745,701
7,18,2688,2706,232,131
8,157,2816,2973,190,129
9,99,3072,3171,484,319
10,85,3584,3669,222,102
11,63,3840,3903,329,151
12,21,4224,4245,268,132
13,45,4480,4525,246,129
14,304,4480,4784,321,148
15,127,4992,5119,288,138
16,38,5376,5414,427,283
17,90,5760,5850,99,68
18,68,5888,5956,336,197
19,34,6272,6306,178,102
20,95,6400,6495,189,99
21,43,6656,6699,178,82
22,106,6784,6890,237,98
23,96,7040,7136,216,96
24,67,7296,7363,202,62
25,21,7552,7573,106,63
26,141,7552,7693,160,93
27,52,7808,7860,106,47
28,61,7936,7997,573,385
29,138,8448,8586,266,175
30,36,8832,8868,164,73
31,89,8960,9049,448,224
32,34,9472,9506,97,58
33,13,9600,9613,217,107
34,123,9728,9851,175,88
35,52,9984,10036,162,73
36,109,10112,10221,248,143
37,128,10368,10496,326,217
38,92,10752,10844,220,122
39,64,11008,11072,321,284
40,13,11392,11405,197,98
41,102,11520,11622,290,152
42,23,11904,11927,302,136
43,84,12160,12244,154,80
44,141,12288,12429,352,202
45,116,12672,12788,191,63
46,76,12928,13004,195,107
47,26,13184,13210,142,62
48,71,13312,13383,164,78
49,125,13440,13565,225,96
50,108,13696,13804,268,108
51,131,13952,14083,156,98
52,46,14208,14254,157,86
53,88,14336,14424,150,81
54,122,14464,14586,137,66
55,39,14720,14759,125,75
56,50,14848,14898,142,86
57,71,14976,15047,176,55
58,151,15104,15255,166,98
59,80,15360,15440,121,80
60,104,15488,15592,318,155
61,60,15872,15932,152,86
62,97,16000,16097,259,88
63,121,16256,16377,148,78
64,40,16512,16552,136,88
65,55,16640,16695,268,128
66,120,16896,17016,249,144
67,124,17152,17276,89,50
68,103,17280,17383,136,66
69,121,17408,17529,192,61
70,80,17664,17744,105,55
71,71,17792,17863,119,70
72,81,17920,18001,143,82
73,104,18048,18152,341,141
74,79,18432,18511,142,71
75,106,18560,18666,246,76
76,107,18816,18923,245,76
77,113,19072,19185,166,73
78,39,19328,19367,224,120
79,31,19584,19615,258,82
80,40,19840,19880,241,77
81,42,20096,20138,109,68
82,40,20224,20264,171,89
83,100,20352,20452,156,81
84,7,20608,20615,132,44
85,25,20736,20761,120,72
86,161,20736,20897,216,111
87,128,20992,21120,130,49
88,24,21248,21272,166,77
89,89,21376,21465,517,251
90,105,21888,21993,316,89
91,60,22272,22332,231,142
92,44,22528,22572,166,64
93,94,22656,22750,157,55
94,136,22784,22920,186,92
95,75,23040,23115,171,74
96,129,23168,23297,131,57
97,14,23424,23438,284,77
98,54,23680,23734,460,140
99,62,24192,24254,298,153
100,112,24448,24560,150,70
101,23,24704,24727,275,88
102,52,24960,25012,107,56
103,41,25088,25129,101,51
104,50,25216,25266,140,83
105,69,25344,25413,101,48
106,55,25472,25527,206,78
107,21,25728,25749,133,74
108,56,25856,25912,457,209
109,16,26368,26384,184,94
110,88,26496,26584,191,83
111,39,26752,26791,450,203
112,116,27136,27252,270,90
113,18,27520,27538,284,101
114,59,27776,27835,201,96
115,15,28032,28047,151,69
116,48,28160,28208,411,144
117,474,28160,28634,167,87
118,11,28800,28811,395,169
119,32,29184,29216,297,105
120,81,29440,29521,155,58
121,129,29568,29697,196,106
122,78,29824,29902,93,47
123,53,29952,30005,90,49
124,29,30080,30109,112,70
125,47,30208,30255,120,81
126,51,30336,30387,144,74
127,81,30464,30545,271,77
128,139,30720,30859,245,125
129,19,31104,31123,159,63
130,86,31232,31318,123,68
131,95,31360,31455,105,70
132,80,31488,31568,99,50
133,70,31616,31686,93,54
134,42,31744,31786,99,56
135,35,31872,31907,153,80
136,76,32000,32076,375,166
137,78,32384,32462,183,99
138,12,32640,32652,86,86
139,110,32640,32750,325,123
140,61,33024,33085,163,67
141,111,33152,33263,191,81
142,59,33408,33467,170,78
143,117,33536,33653,277,96
144,20,33920,33940,113,54
145,17,34048,34065,106,60
146,134,34048,34182,159,66
147,174,34176,34350,139,51
148,93,34432,34525,143,86
149,120,34560,34680,118,54
150,117,34688,34805,141,49
151,12,34944,34956,141,67
152,74,35072,35146,172,102
153,137,35200,35337,93,54
154,118,35328,35446,145,88
155,15,35584,35599,134,61
156,30,35712,35742,268,86
157,54,35968,36022,291,68
158,106,36224,36330,146,71
159,135,36352,36487,368,135
160,146,36736,36882,280,121
161,61,37120,37181,316,96
162,144,37376,37520,298,142
