样本,臂,步,标签,过题数,合法,推进,接手最好,错误,异常,diff行数,种子
R1,起步,0,假设排除,24,true,true,,,,2,true
R1,起步,0,逐题攻考,21,true,false,,,,4,true
R1,起步,0,数据流追踪,21,true,false,,,,4,true
R1,尺,1,读码定位,37,true,true,24,,,16,false
R1,尺,2,读码定位,36,true,false,37,,,20,false
R1,尺,3,边界用例,37,true,false,37,,,18,false
R1,尺,4,边界用例,0,false,false,37,超行数上限,,22,false
R1,尺,5,边界用例,37,true,false,37,,,18,false
R1,尺,6,边界用例,36,true,false,37,,,20,false
R1,尺,7,边界用例,0,false,false,37,超行数上限,,21,false
R1,尺,8,边界用例,36,true,false,37,,,20,false
R1,尺,9,边界用例,0,false,false,37,超行数上限,,21,false
R1,尺,10,边界用例,37,true,false,37,,,20,false
R1,尺,11,边界用例,37,true,false,37,,,16,false
R1,尺,12,边界用例,37,true,false,37,,,19,false
R1,尺,13,边界用例,36,true,false,37,,,20,false
R1,尺,14,假设排除,0,false,false,37,超行数上限,,21,false
R1,尺,15,假设排除,39,true,true,37,,,20,false
R1,尺,16,边界用例,39,true,false,39,,,11,false
R1,尺,17,边界用例,39,true,false,39,,,12,false
R1,尺,18,数据流追踪,37,true,false,39,,,13,false
R1,尺,19,,0,false,false,39,缺节,,,false
R1,尺,20,边界用例,39,true,false,39,,,10,false
R1,起步,0,假设排除,24,true,true,,,,2,true
R1,起步,0,逐题攻考,21,true,false,,,,4,true
R1,起步,0,数据流追踪,21,true,false,,,,4,true
R1,画,1,读码定位,36,true,true,24,,,20,false
R1,画,2,读码定位,34,true,false,36,,,12,false
R1,画,3,读码定位,36,true,false,36,,,19,false
R1,画,4,读码定位,36,true,false,36,,,20,false
R1,画,5,边界用例,36,true,false,36,,,20,false
R1,画,6,读码定位,0,false,false,36,超行数上限,,22,false
R1,画,7,边界用例,36,true,false,36,,,20,false
R1,画,8,边界用例,36,true,false,36,,,19,false
R1,画,9,读码定位,36,true,false,36,,,19,false
R1,画,10,边界用例,0,false,false,36,超行数上限,,28,false
R1,画,11,读码定位,36,true,false,36,,,20,false
R1,画,12,读码定位,0,false,false,36,超行数上限,,21,false
R1,画,13,读码定位,39,true,true,36,,,20,false
R1,画,14,边界用例,39,true,false,39,,,18,false
R1,画,15,边界用例,39,true,false,39,,,17,false
R1,画,16,读码定位,39,true,false,39,,,8,false
R1,画,17,读码定位,39,true,false,39,,,20,false
